what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327670713884
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327670717332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327670967695
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327670967773
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327670973684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327670994433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327670994479
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327670995308
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1327671001625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671001921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671008949
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327671009121
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327671068859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671070528
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671135627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327671135674
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1327671140957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671141254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671153786
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327671156110
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327671176656
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671178044
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671220336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327671220383
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327671221290
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1327671224735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671225063
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671236946
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1327671240741
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327671262503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671264547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671280397
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327671280443
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.buildProject",1327671284890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671285186
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327671297136
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1327671315459
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327671325714
