what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663218296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663218390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663221010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663226479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663229419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663229497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663231463
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663234879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663237402
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663237480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663239493
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663247770
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663250199
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663250292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663252196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663257141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663259075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663259169
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663261462
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663265752
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663267706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663267800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663269500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663275549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663278669
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663278763
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663281555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663287031
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663289912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663290006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663292050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663297452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663299371
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663299449
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663300869
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663304975
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663306859
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663306953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663309184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663313084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663315361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663315455
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663317358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663321632
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663323084
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663323177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663324893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663329433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663331071
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663331164
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663335205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663340672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663342615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663342709
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663344612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663348028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663349785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663349878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663351672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663355532
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663357810
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663357903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663359729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663363936
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663366893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663366987
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.1.0.201108301805,"org.eclipse.linuxtools.cdt.libhover",1327663367923
activated,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663381866
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1327663383987
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663383987
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663383987
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384003
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384018
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384018
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384034
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384034
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384050
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384050
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384065
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384065
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384081
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384081
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384081
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384096
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384096
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384112
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384112
closed,editor,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui.editor.CEditor",1327663384128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663386483
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663391897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663393862
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663393925
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663397123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663401725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663403550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663403597
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663406031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663409616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663411179
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663411225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663413363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663416389
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663418058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663418090
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663420788
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663424127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663425578
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663425625
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663428245
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663432736
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663434064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663434127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663437325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1327663442738
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663445421
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1327663445453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1327663448027
